c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
182,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Silver,kolkata,22
183,5,"Tubeless,Radial",4,RWD,Yes,No,4456,1820,1995,Blue,kolkata,15
184,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,kolkata,19
185,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Others,kolkata,18
186,5,"Tubeless,Radial",4,FWD,No,No,3850,1695,1530,Silver,kolkata,19
187,5,"Tubeless, Radial",3,FWD,Yes,No,3805,1680,1520,Silver,kolkata,26
188,5,"Tubeless,Radial",4,FWD,No,No,4445,1775,1700,Others,kolkata,19
189,4,"Tubeless,Radial",4,FWD,No,No,4620,1775,1475,White,kolkata,14
190,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Red,kolkata,17
191,5,"Tubeless,Radial",4,FWD,No,No,4445,1775,1700,Others,kolkata,19
192,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Grey,kolkata,20
193,5,"Radial,Tubeless",4,FWD,No,No,4300,1785,1595,Others,kolkata,19
194,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Others,kolkata,18
195,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Red,kolkata,18
196,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Others,kolkata,23
197,4,"Tubeless,Radial",4,FWD,Yes,No,4933,2086,1455,White,kolkata,15
198,4,"Tubeless,Radial",4,FWD,No,No,4425,1695,1505,White,kolkata,17
199,5,"Tubeless,Radial",3,Not specified,Yes,No,3995,1775,1505,Blue,kolkata,20
200,5,"Tubeless, Radial",4,FWD,Yes,No,4296,1695,1685,Silver,kolkata,25
201,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Silver,kolkata,18
202,5,Tubeless,4,FWD,No,No,4270,1780,1665,Others,kolkata,22
203,5,"Tubeless, Radial",4,Not specified,Yes,No,4661,1894,1786,Others,kolkata,14
204,5,"Tubeless,Radial",3,FWD,No,No,3675,1715,1635,Red,kolkata,18
205,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Blue,kolkata,22
206,5,"Tubeless,Radial",3,FWD,No,No,3565,1525,1590,Others,kolkata,18
207,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,kolkata,17
208,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,kolkata,19
209,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Others,kolkata,18
210,4,"Tubeless, Radial",4,Not specified,No,No,4549,1748,1489,Red,kolkata,19
211,5,"Tubeless,Radial",4,FWD,No,No,3700,1690,1595,Others,kolkata,21
212,5,"Tubeless, Radial",4,FWD,Yes,No,4395,1735,1690,Grey,kolkata,25
213,5,"Tubeless,Radial",4,RWD,Yes,No,4585,1760,1760,Silver,kolkata,13
214,5,"Tubeless,Radial",4,RWD,Yes,No,4735,1830,1795,Black,kolkata,12
215,5,Radial,4,Not specified,No,No,4285,1726,1976,Red,kolkata,12
216,5,Tubeless,4,FWD,No,No,3585,1595,1550,Others,kolkata,20
217,4,Runflat Tyres,6,FWD,Yes,No,5091,1902,1538,White,kolkata,17
218,5,"Tubeless,Radial",4,FWD,Yes,No,4705,1840,1850,Silver,kolkata,13
219,5,"Tubeless,Radial",4,FWD,No,No,3999,1734,1601,Green,kolkata,18
220,5,"Tubeless, Radial",4,Not specified,No,No,4500,1790,1675,Black,kolkata,14
221,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Red,kolkata,22
222,4,"Tubeless,Radial",3,Not specified,No,No,3993,1677,1532,Others,kolkata,19
223,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Others,kolkata,16
224,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,kolkata,22
225,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1745,1510,Red,kolkata,27
226,5,"Tubeless,Radial",4,FWD,No,No,3995,1760,1555,White,kolkata,17
227,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1790,1640,Others,kolkata,24
228,5,"Tubeless,Radial",3,FWD,No,No,4000,1642,1522,Others,kolkata,16
229,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1567,Others,kolkata,22
230,5,"Tubeless,Radial",3,FWD,No,No,3731,1579,1474,Blue,kolkata,22
231,5,"Tubeless,Radial",4,FWD,No,No,3999,1734,1601,Brown,kolkata,18
232,4,"Tubeless,Radial",4,FWD,Yes,No,4915,2086,1455,Grey,kolkata,18
233,5,Tubeless,4,FWD,No,No,3985,1734,1505,Others,kolkata,19
234,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Others,kolkata,16
235,5,"Tubeless,Radial",4,FWD,Yes,No,4705,1840,1850,Silver,kolkata,13
